app	product_id	type	price_usd	reward_qty	reward_unit	duration	notes
FastingTimer	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FastingTimer	hint_pack	consumable	1.99	10	hints		
FastingTimer	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FastingTimer	season_pass_monthly	subscription	1.99		subscription	P1M	
FindDifference	remove_ads	non_consumable	2.99		ads_off	forever	
FindDifference	coins_small	consumable	0.99	100	coins		
FindDifference	coins_large	consumable	2.99	500	coins		
FindDifference	five_lives	consumable	0.99	5	lives		
FindDifference	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FindDifference	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FindDifference	hint_pack	consumable	1.99	10	hints		
FindDifference	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FindDifference	season_pass_monthly	subscription	1.99		subscription	P1M	
Fireworks	remove_ads	non_consumable	2.99		ads_off	forever	
Fireworks	coins_small	consumable	0.99	100	coins		
Fireworks	coins_large	consumable	2.99	500	coins		
FishingLog	remove_ads	non_consumable	2.99		ads_off	forever	
FishingLog	coins_small	consumable	0.99	100	coins		
FishingLog	coins_large	consumable	2.99	500	coins		
FishingLog	five_lives	consumable	0.99	5	lives		
FishingLog	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FishingLog	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FishingLog	hint_pack	consumable	1.99	10	hints		
FishingLog	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FishingLog	season_pass_monthly	subscription	1.99		subscription	P1M	
FlagQuiz	remove_ads	non_consumable	2.99		ads_off	forever	
FlagQuiz	coins_small	consumable	0.99	100	coins		
FlagQuiz	coins_large	consumable	2.99	500	coins		
FlagQuiz	five_lives	consumable	0.99	5	lives		
FlagQuiz	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FlagQuiz	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FlagQuiz	hint_pack	consumable	1.99	10	hints		
FlagQuiz	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FlagQuiz	season_pass_monthly	subscription	1.99		subscription	P1M	
FlappyBird	remove_ads	non_consumable	2.99		ads_off	forever	
FlappyBird	coins_small	consumable	0.99	100	coins		
FlappyBird	coins_large	consumable	2.99	500	coins		
FlashcardMaker	remove_ads	non_consumable	2.99		ads_off	forever	
FlashcardMaker	coins_small	consumable	0.99	100	coins		
FlashcardMaker	coins_large	consumable	2.99	500	coins		
FlashcardMaker	five_lives	consumable	0.99	5	lives		
FlashcardMaker	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FlashcardMaker	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FlashcardMaker	hint_pack	consumable	1.99	10	hints		
FlashcardMaker	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FlashcardMaker	season_pass_monthly	subscription	1.99		subscription	P1M	
FlashlightSOS	remove_ads	non_consumable	2.99		ads_off	forever	
FoodQuiz	remove_ads	non_consumable	2.99		ads_off	forever	
FoodQuiz	coins_small	consumable	0.99	100	coins		
FoodQuiz	coins_large	consumable	2.99	500	coins		
FoodQuiz	five_lives	consumable	0.99	5	lives		
FoodQuiz	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FoodQuiz	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FoodQuiz	hint_pack	consumable	1.99	10	hints		
FoodQuiz	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FoodQuiz	season_pass_monthly	subscription	1.99		subscription	P1M	
FootballQuiz	remove_ads	non_consumable	2.99		ads_off	forever	
FootballQuiz	coins_small	consumable	0.99	100	coins		
FootballQuiz	coins_large	consumable	2.99	500	coins		
FootballQuiz	five_lives	consumable	0.99	5	lives		
FootballQuiz	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FootballQuiz	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FootballQuiz	hint_pack	consumable	1.99	10	hints		
FootballQuiz	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FootballQuiz	season_pass_monthly	subscription	1.99		subscription	P1M	
FruitMerge	remove_ads	non_consumable	2.99		ads_off	forever	
FruitMerge	coins_small	consumable	0.99	100	coins		
FruitMerge	coins_large	consumable	2.99	500	coins		
FruitMerge	five_lives	consumable	0.99	5	lives		
FruitMerge	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FruitMerge	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FruitMerge	hint_pack	consumable	1.99	10	hints		
FruitMerge	starter_pack	consumable	0.99	bundle	coins+lives+hints		
FruitMerge	season_pass_monthly	subscription	1.99		subscription	P1M	
FruitSort	remove_ads	non_consumable	2.99		ads_off	forever	
FruitSort	coins_small	consumable	0.99	100	coins		
FruitSort	coins_large	consumable	2.99	500	coins		
FruitSort	five_lives	consumable	0.99	5	lives		
FruitSort	unlimited_lives_1h	consumable	0.99	inf	lives	1h	
FruitSort	unlimited_lives_forever	non_consumable	4.99	inf	lives	forever	
FruitSort	hint_pack	consumable	1.99	10	hints		
FruitSort	starter_pack	consumable	0.99	bundle	coins+lives+hints		
